f,Re,Im
0.1,509.9999506519829,-0.15707961717635285
0.11768119524349985,509.99993165860616,-0.18485316395507337
0.1384886371393873,509.9999053549401,-0.21753740134369232
0.16297508346206444,509.99986892735603,-0.25600059535193515
0.19179102616724888,509.9998184792999,-0.30126453004420184
0.22570197196339203,509.9997486144915,-0.35453165026213296
0.2656087782946686,509.9996518597027,-0.4172170028094404
0.3125715849688236,509.9995178653762,-0.49098582408649927
0.3678379771828633,509.99933229857805,-0.5777977718206885
0.43287612810830584,509.99907530987593,-0.6799589744847013
0.509413801481638,509.99871941016096,-0.8001832787675802
0.599484250318941,509.9982265303327,-0.9416643183343273
0.7054802310718642,509.99754394938066,-1.1081603121717185
0.8302175681319743,509.9965986554004,-1.304093835056901
0.9770099572992251,509.99528953655283,-1.5346691940251684
1.1497569953977356,509.993476567023,-1.806010501993144
1.3530477745798069,509.9909658319411,-2.125324072524412
1.5922827933410921,509.9874887907845,-2.501089378127927
1.8738174228603839,509.9826735637351,-2.9432835281499687
2.2051307399030455,509.97600517458085,-3.463645039248975
2.595024211399736,509.96677050706046,-4.075983595470325
3.0538555088334154,509.95398210519875,-4.796543521534244
3.5938136638046276,509.9362727020821,-5.6444298020668615
4.229242874389499,509.91174926281496,-6.642106623645967
4.977023564332109,509.87779105882856,-7.8159795010248825
5.8570208180566645,509.83077042286203,-9.197072899525551
6.892612104349695,509.7656667911774,-10.821815575889204
8.111308307896868,509.6755336610509,-12.732945105881777
9.545484566618338,509.5507631929989,-14.98054037048632
11.233240329780276,509.3780731371391,-17.623184684038048
13.219411484660288,509.1391141061535,-20.729250406153596
15.556761439304722,508.80856040921407,-24.378274489686007
18.30738280295368,508.35150344675446,-28.662357469976122
21.54434690031882,507.71991294697426,-33.687456560914534
25.353644939701113,506.8478709703605,-39.57434266542245
29.836472402833373,505.6452259898334,-46.45883068269854
35.11191734215131,503.98928186999314,-54.49064444989625
41.320124001153346,501.71417595088377,-63.82990791459146
48.62601580065353,498.59780072319364,-74.63973131017518
57.22367659350214,494.3466407517036,-87.07268210174755
67.34150657750821,488.57997730124043,-101.24818011680209
79.24828983539169,480.8168896526677,-117.21732484629392
93.26033468832199,470.4726646115403,-134.91203597647643
109.74987654930557,456.87555294662104,-154.07795641155874
129.1549665014884,439.3190850469152,-174.19720358816673
151.99110829529332,417.1659040978146,-194.4193369732459
178.8649529057435,390.00995330493043,-213.53550534196836
210.49041445120199,357.87816331972107,-230.04318104468558
247.70763559917089,321.41204808487504,-242.3397622141711
291.50530628251755,281.93524524347686,-249.03583078767707
343.04692863149154,241.32439053357263,-249.3014673263226
403.70172585965537,201.68107206431705,-243.10265865356678
475.0810162102793,164.91438741496052,-231.21143198234765
559.0810182512223,132.4002825445903,-214.98444619390403
657.9332246575676,104.83498083348019,-196.01993987105888
774.263682681127,82.28909675373326,-175.8375240595591
911.1627561154887,64.38377278956474,-155.67367038762646
1072.2672220103232,50.49354602287102,-136.40764546728727
1261.856883066021,39.91289138999494,-118.58188994820347
1484.9682622544635,31.964729159971224,-102.46909413532805
1747.5284000076829,26.056340661358465,-88.14966962641233
2056.5123083486515,21.69838181407556,-75.58001567855014
2420.1282647943835,18.502464579361693,-64.64472434590115
2848.035868435799,16.168620156718433,-55.192918057676046
3351.6026509388407,14.469567857669276,-47.061734902150896
3944.206059437656,13.235427545063873,-40.090469954000014
4641.588833612773,12.34044944349429,-34.12839020741517
5462.277217684337,11.692195240602324,-29.03849334192193
6428.073117284319,11.223052252164408,-24.69879084632847
7564.633275546291,10.883743458972575,-21.002160055218386
8902.150854450374,10.63844789118143,-17.855428582953724
10476.157527896641,10.461174687820215,-15.178098096185217
12328.467394420659,10.333090818489326,-12.90094801754125
14508.287784959402,10.240563057559921,-10.96465495103691
17073.526474706887,10.173729219604407,-9.3184992332703
20092.33002565046,10.125458666525953,-7.919191460368299
23644.894126454074,10.090597624868426,-6.729829455831802
27825.59402207126,10.065422109171163,-5.718983697582377
32745.49162877725,10.047241773495408,-4.859902772951385
38535.28593710528,10.034113278183156,-4.129827523738733
45348.78508128582,10.024633013753142,-3.5094016713970757
53366.99231206302,10.017787272328668,-2.9821669599935645
62802.914418342465,10.012843976630743,-2.5341316752757836
73907.22033525775,10.009274456440668,-2.153402471622887
86974.90026177834,10.006696942394129,-1.829870582316319
102353.10218990248,10.004835752204196,-1.5549446027427072
120450.35402587811,10.003491813698306,-1.3213230704069256
141747.4162926805,10.002521376878024,-1.1228009982494942
166810.0537200059,10.001820640641544,-0.954105343261407
196304.06500402684,10.001314651166773,-0.8107551141244442
231012.9700083158,10.000949285193782,-0.6889424473409621
271858.824273294,10.00068546107051,-0.5854315206736312
319926.71377973846,10.000494958536551,-0.4974726357214234
376493.58067924634,10.000357400204772,-0.42272919777473916
443062.14575838775,10.000258071913446,-0.3592156596285815
521400.82879996847,10.000186348826732,-0.30524478478778966
613590.7273413163,10.0001345589428,-0.25938283153344005
722080.9018385457,10.000097162450036,-0.22041146879648854
849753.4359086438,10.000070159153335,-0.18729541303867567
1000000.0,10.000050660586687,-0.1591549269661298
