f,Re,Im
0.1,1309.9723513541587,-5.082943379114998
0.11768119524349985,1309.961710222101,-5.981598983372556
0.1384886371393873,1309.946973880884,-7.039103850733073
0.16297508346206444,1309.9265665235428,-8.283516857522793
0.19179102616724888,1309.8983061881895,-9.747840666346315
0.22570197196339203,1309.859171779962,-11.470884921488103
0.2656087782946686,1309.8049807189377,-13.498275195504249
0.3125715849688236,1309.7299430865914,-15.88362913993426
0.3678379771828633,1309.6260452568426,-18.6899223798152
0.43287612810830584,1309.482198378731,-21.99106628209733
0.509413801481638,1309.2830631121465,-25.873716514109947
0.599484250318941,1309.007429658465,-30.439323118296
0.7054802310718642,1308.6259888957886,-35.80641610831326
0.8302175681319743,1308.098273565614,-42.11308959530818
0.9770099572992251,1307.3684754114495,-49.51959303301248
1.1497569953977356,1306.359753766276,-58.210846006362026
1.3530477745798069,1304.9665460478154,-68.39854118432163
1.5922827933410921,1303.0442825927282,-80.32225624861302
1.8738174228603839,1300.3958272695336,-94.24861443326218
2.2051307399030455,1296.753976551155,-110.46695680096826
2.595024211399736,1291.7595811899344,-129.27915659753745
3.0538555088334154,1284.9355374660897,-150.9800854538662
3.5938136638046276,1275.658409691407,-175.82391152645488
4.229242874389499,1263.1323404827942,-203.9702284322018
4.977023564332109,1246.374790472975,-235.40391238819223
5.8570208180566645,1224.2307603980892,-269.82547706715064
6.892612104349695,1195.4402679789296,-306.5175908816409
8.111308307896868,1158.7884348567418,-344.21168685510304
9.545484566618338,1113.3589590040858,-381.006445661621
11.233240329780276,1058.8771345389355,-414.4175803742009
13.219411484660288,996.0630351272556,-441.6397724672716
15.556761439304722,926.8430053402657,-460.0425225804048
18.30738280295368,854.2509806762395,-467.7956125194331
21.54434690031882,781.9523228450145,-464.3918288645283
25.353644939701113,713.5182877566698,-450.82152088935754
29.836472402833373,651.7324399373991,-429.3091834792867
35.11191734215131,598.1890272164329,-402.74646313742556
41.320124001153346,553.266777901634,-374.0780705892009
48.62601580065353,516.3780686962167,-345.8499269971175
57.22367659350214,486.320139005156,-319.99143831495
67.34150657750821,461.59072032557543,-297.78898690739334
79.24828983539169,440.6066698863078,-279.9634477253839
93.26033468832199,421.8256929075344,-266.7743624650436
109.74987654930557,403.8022195255647,-258.1035433022879
129.1549665014884,385.2168511341395,-253.5001685776212
151.99110829529332,364.915651118779,-252.19251829385786
178.8649529057435,341.9856721205234,-253.0904685225164
210.49041445120199,315.8743907491677,-254.81830647925383
247.70763559917089,286.5299195364485,-255.82235925182135
291.50530628251755,254.5020643134929,-254.5783734777781
343.04692863149154,220.92527158574723,-249.87175759898187
403.70172585965537,187.33442514705095,-241.0598713470743
475.0810162102793,155.34610301069017,-228.20012504482668
559.0810182512223,126.32021519513532,-211.97893274529338
657.9332246575676,101.13122166466826,-193.47767743901193
774.263682681127,80.11150378194809,-173.88572032085807
911.1627561154887,63.139822525899916,-154.26826685254463
1072.2672220103232,49.79892612454846,-135.43994753770875
1261.856883066021,39.53177811332672,-117.93651537621362
1484.9682622544635,31.758400670495096,-102.0484764355767
1747.5284000076829,25.945750956751077,-87.88006365700755
2056.5123083486515,21.63954603949735,-75.40927733785774
2420.1282647943835,18.471333852986326,-64.53753876575401
2848.035868435799,16.15221449705726,-55.12605398502566
3351.6026509388407,14.460947490860784,-47.020214654190454
3944.206059437656,13.230907613642604,-40.064772619740694
4641.588833612773,12.338083166650499,-34.11252390322579
5462.277217684337,11.690957835921422,-29.028713958801738
6428.073117284319,11.222405698028812,-24.69277074598766
7564.633275546291,10.883405827790497,-20.99845748418062
8902.150854450374,10.638271654851865,-17.853152859583147
10476.157527896641,10.461082724474094,-15.176700020447747
12328.467394420659,10.333042840994388,-12.900089411408262
14508.287784959402,10.24053803160636,-10.964127781347786
17073.526474706887,10.173716167115789,-9.318175617468464
20092.33002565046,10.125451859465233,-7.918992826504882
23644.894126454074,10.090594075103079,-6.729707546591605
27825.59402207126,10.06542025811035,-5.718908882199116
32745.49162877725,10.047240808271608,-4.8598568611634825
38535.28593710528,10.034112774884862,-4.1297993501379695
45348.78508128582,10.024632751321771,-3.509384383205467
53366.99231206302,10.01778713549251,-2.982156351618179
62802.914418342465,10.012843905282665,-2.5341251658528887
73907.22033525775,10.009274419239121,-2.1533984774029387
86974.90026177834,10.006696922996985,-1.8298681314563892
102353.10218990248,10.004835742090425,-1.5549430988984594
120450.35402587811,10.003491808424945,-1.3213221476534796
141747.4162926805,10.002521374128476,-1.1228004320527432
166810.0537200059,10.001820639207924,-0.9541049958466502
196304.06500402684,10.00131465041928,-0.8107549009532262
231012.9700083158,10.000949284804037,-0.6889423165407496
271858.824273294,10.000685460867297,-0.5854314404156875
319926.71377973846,10.000494958430595,-0.4974725864758286
376493.58067924634,10.000357400149527,-0.4227291675580702
443062.14575838775,10.000258071884643,-0.3592156410879009
521400.82879996847,10.000186348811713,-0.3052447734113943
613590.7273413163,10.00013455893497,-0.25938282455298683
722080.9018385457,10.000097162445952,-0.2204114645133461
849753.4359086438,10.000070159151207,-0.1872954104105787
1000000.0,10.000050660585579,-0.15915492535355363
