f,Re,Im
0.1,509.9324387759253,-0.16295696525474251
0.11768119524349985,509.92365782541935,-0.18411449782537112
0.1384886371393873,509.9137346670811,-0.20801807158063845
0.16297508346206444,509.9025204639112,-0.23502383313318295
0.19179102616724888,509.88984691256394,-0.2655340465935039
0.22570197196339203,509.8755236775829,-0.30000304514720894
0.2656087782946686,509.8593354820522,-0.33894394508573494
0.3125715849688236,509.8410388071983,-0.38293621840057823
0.3678379771828633,509.82035814652505,-0.4326342317242451
0.43287612810830584,509.7969817520121,-0.48877687236517725
0.509413801481638,509.7705568005291,-0.5521983965435471
0.599484250318941,509.74068389768587,-0.623840650790752
0.7054802310718642,509.7069108235519,-0.7047668349187924
0.8302175681319743,509.6687254096865,-0.7961769940703469
0.9770099572992251,509.6255474192794,-0.8994254481723479
1.1497569953977356,509.57671928141235,-1.0160403896393477
1.3530477745798069,509.5214955058359,-1.147745904350755
1.5922827933410921,509.45903057548054,-1.2964866966142232
1.8738174228603839,509.38836507918955,-1.4644558257610707
2.2051307399030455,509.3084098057569,-1.6541257897674604
2.595024211399736,509.2179274708285,-1.8682833192000488
3.0538555088334154,509.115511688883,-2.1100682718851527
3.5938136638046276,508.9995627312458,-2.3830170436265012
4.229242874389499,508.86825952538214,-2.6911109311351207
4.977023564332109,508.7195272474995,-3.038829897451904
5.8570208180566645,508.5509997361154,-3.4312121939528093
6.892612104349695,508.35997580434986,-3.8739202816887683
8.111308307896868,508.1433683481438,-4.373313461842147
9.545484566618338,507.8976449304418,-4.936527561842013
11.233240329780276,507.61875826079176,-5.571561918728259
13.219411484660288,507.30206467826486,-6.287373739602104
15.556761439304722,506.94222837503645,-7.093979680648449
18.30738280295368,506.53310866028704,-8.002564145405307
21.54434690031882,506.0676270520881,-9.025593326095512
25.353644939701113,505.53761039372137,-10.176933355549236
29.836472402833373,504.93360552031885,-11.471970045934706
35.11191734215131,504.2446602600884,-12.927726493561837
41.320124001153346,503.4580647641186,-14.562973237794774
48.62601580065353,502.5590463647046,-16.398323567084162
57.22367659350214,501.53041044382275,-18.45630383385626
67.34150657750821,500.3521192821881,-20.76138511711377
79.24828983539169,499.00080076239027,-23.33995808308258
93.26033468832199,497.4491794317207,-26.22022725937614
109.74987654930557,495.665424255033,-29.431993994877164
129.1549665014884,493.6124110673342,-33.00628902948293
151.99110829529332,491.24690418482305,-36.97480589518318
178.8649529057435,488.51867206903444,-41.369075640116804
210.49041445120199,485.36956790324166,-46.21931241521591
247.70763559917089,481.7326292540233,-51.5528498597169
291.50530628251755,477.53128357300704,-57.392082690205505
343.04692863149154,472.67878974110715,-63.75183077659566
403.70172585965537,467.0781006421829,-70.63606068833826
475.0810162102793,460.6223958783701,-78.03394094553609
559.0810182512223,453.196600744115,-85.91528271258473
657.9332246575676,444.6802639727262,-94.22553852286656
774.263682681127,434.95218945980895,-102.88070568585889
911.1627561154887,423.8971721823338,-111.7627064686913
1072.2672220103232,411.41503352598477,-120.71607305634576
1261.856883066021,397.43184507307706,-129.5470012192945
1484.9682622544635,381.9127522295158,-138.02596603139278
1747.5284000076829,364.8751892077363,-145.89499964407497
2056.5123083486515,346.4006235420335,-152.88029860319452
2420.1282647943835,326.6424807444491,-158.70999698415542
2848.035868435799,305.8278346376898,-163.1357810575146
3351.6026509388407,284.2510277670605,-165.95577874165696
3944.206059437656,262.2586621943086,-167.03523287130415
4641.588833612773,240.2271521256178,-166.32128252426733
5462.277217684337,218.53576794212952,-163.8489694621569
6428.073117284319,197.53923856831003,-159.7372434686629
7564.633275546291,177.54409359999445,-154.17578548719376
8902.150854450374,158.7919743614116,-147.405251915212
10476.157527896641,141.45148138222865,-139.69453527022674
12328.467394420659,125.61833088936655,-131.31864203386414
14508.287784959402,111.3221918731003,-122.53998408618011
17073.526474706887,98.5378502124609,-113.59466693741061
20092.33002565046,87.19829421950217,-104.68415449097222
23644.894126454074,77.20773856369738,-95.97178040619063
27825.59402207126,68.45324190645405,-87.58306371938663
32745.49162877725,60.814212136212255,-79.60863226202575
38535.28593710528,54.169604453461005,-72.1086513296141
45348.78508128582,48.40295830723219,-65.11787741118572
53366.99231206302,43.40560209359496,-58.65071385209778
62802.914418342465,39.07841841931777,-52.70587951654431
73907.22033525775,35.33255078129788,-47.27048671043775
86974.90026177834,32.08938078066365,-42.32345592604811
102353.10218990248,29.28003877946566,-37.838278884663474
120450.35402587811,26.844645478226493,-33.785188695974846
141747.4162926805,24.731424922017634,-30.132817686185238
166810.0537200059,22.8957836571371,-26.849428761983976
196304.06500402684,21.299416063160187,-23.90380195220328
231012.9700083158,19.90947082873228,-21.265848731534508
271858.824273294,18.697796226418234,-18.907015895419306
319926.71377973846,17.640270410611333,-16.80052989426799
376493.58067924634,16.716215807311208,-14.921522583518001
443062.14575838775,15.90789250221323,-13.247070709976347
521400.82879996847,15.200063390668266,-11.756174228688355
613590.7273413163,14.57962302035491,-10.429692653899407
722080.9018385457,14.035282035085412,-9.250253939175375
849753.4359086438,13.55729957444284,-8.202146675902336
1000000.0,13.137256672651052,-7.27120351948873
