f,Re,Im
0.1,1309.5158075747972,-5.119374188996112
0.11768119524349985,1309.4463049670267,-5.972246754741652
0.1384886371393873,1309.365318072929,-6.968996789802065
0.16297508346206444,1309.2704389226985,-8.134114049109042
0.19179102616724888,1309.158603995367,-9.496273117849517
0.22570197196339203,1309.0258806164043,-11.08904397978054
0.2656087782946686,1308.8671774997113,-12.951718928528939
0.3125715849688236,1308.6758516499751,-15.130272133942377
0.3678379771828633,1308.443173646045,-17.6784687378732
0.43287612810830584,1308.1575994775121,-20.659139667734504
0.509413801481638,1307.8037783895088,-24.145635404834795
0.599484250318941,1307.361201072534,-28.223465064253062
0.7054802310718642,1306.802359169342,-32.992113645146496
0.8302175681319743,1306.0902434116197,-38.56700590002462
0.9770099572992251,1305.1749518394763,-45.0815431760917
1.1497569953977356,1303.9891105558256,-52.68906929011843
1.3530477745798069,1302.4417290958147,-61.564507042955505
1.5922827933410921,1300.410028685783,-71.90522484434888
1.8738174228603839,1297.7287149994318,-83.93041009275122
2.2051307399030455,1294.1761621564065,-97.8777997372478
2.595024211399736,1289.4571193593756,-113.99600196151108
3.0538555088334154,1283.182004748094,-132.52980494331516
3.5938136638046276,1274.84387768158,-153.6948442171573
4.229242874389499,1263.796174020686,-177.63699887473118
4.977023564332109,1249.237724922933,-204.37148930757007
5.8570208180566645,1230.2167750445149,-233.6980905487363
6.892612104349695,1205.6721759503237,-265.0942758278733
8.111308307896868,1174.5350935558913,-297.6001644698032
9.545484566618338,1135.9122683191897,-329.7292995577331
11.233240329780276,1089.3523552213408,-359.4632590840639
13.219411484660288,1035.1524063374643,-384.4001917482702
15.556761439304722,974.6005277697825,-402.100864561625
18.30738280295368,910.0118820298618,-410.59226501880306
21.54434690031882,844.455172471979,-408.8744725223282
25.353644939701113,781.2031801602889,-397.21492420823887
29.836472402833373,723.0988554947243,-377.08391231016645
35.11191734215131,672.0826549526198,-350.76180150231824
41.320124001153346,629.0288181940242,-320.8030941425705
48.62601580065353,593.8722385594283,-289.56783999411414
57.22367659350214,565.8964395880147,-258.9406257370404
67.34150657750821,544.0432915450946,-230.24374541283964
79.24828983539169,527.1585787323397,-204.28427828645312
93.26033468832199,514.1476758367547,-181.46371093913092
109.74987654930557,504.05283704168255,-161.89814217762424
129.1549665014884,496.07655670659295,-145.52193058270672
151.99110829529332,489.5740748173737,-132.16588008855823
178.8649529057435,484.03161597818496,-121.6109078642825
210.49041445120199,479.0404321625349,-113.62194971043733
247.70763559917089,474.27192595363033,-107.96739659242685
291.50530628251755,469.456157884023,-104.42853802604554
343.04692863149154,464.36443198561767,-102.8023432576731
403.70172585965537,458.7959127657527,-102.8998851247637
475.0810162102793,452.5679813738509,-104.54194416507228
559.0810182512223,445.51004588298434,-107.55283047851789
657.9332246575676,437.46063110528894,-111.7531932340302
774.263682681127,428.2676923053882,-116.95251002757588
911.1627561154887,417.79215556329365,-122.94201750980905
1072.2672220103232,405.9146271170028,-129.48901029582927
1261.856883066021,392.54498638040565,-136.33362662263704
1484.9682622544635,377.6341578084036,-143.18935597904564
1747.5284000076829,361.18677110976097,-149.7484180371572
2056.5123083486515,343.2727739169957,-155.6927448250096
2420.1282647943835,324.03555685064237,-160.71047554333
2848.035868435799,303.6940535162498,-164.5167013150987
3351.6026509388407,282.5368256940251,-166.8759148960894
3944.206059437656,260.9074108492623,-167.62263200605565
4641.588833612773,239.18198902027348,-166.6763958531491
5462.277217684337,217.7422312304799,-164.04811946296257
6428.073117284319,196.9474155559343,-159.83637013047024
7564.633275546291,177.1100877251584,-154.21428605503797
8902.150854450374,158.47863062176913,-147.4096718535942
10476.157527896641,141.22843954407136,-139.6818869144869
12328.467394420659,125.46156432191874,-131.2991992920312
14508.287784959402,111.21322419700924,-122.51949288892857
17073.526474706887,98.46282941195449,-113.5759922747725
20092.33002565046,87.14706298451375,-104.6684392519465
23644.894126454074,77.17298986755827,-95.95921596409559
27825.59402207126,68.42980408650305,-87.57337337298279
32745.49162877725,60.79847469314409,-79.6013555537586
38535.28593710528,54.159075359553725,-72.10329833158603
45348.78508128582,48.395933570885134,-65.1140030365032
53366.99231206302,43.40092540409569,-58.64794610459677
62802.914418342465,39.075309896577934,-52.7039233022092
73907.22033525775,35.33048696922529,-47.26911619815259
86974.90026177834,32.08801165805063,-42.322502761752254
102353.10218990248,29.279130972113883,-37.83762003555436
120450.35402587811,26.844043722778856,-33.78473563607802
141747.4162926805,24.7310260857679,-30.132507502179184
166810.0537200059,22.895519311394565,-26.84921718891239
196304.06500402684,21.29924083936188,-23.903658100804616
231012.9700083158,19.90935466112275,-21.26575119269619
271858.824273294,18.697719195157738,-18.90694991475511
319926.71377973846,17.640219318892367,-16.800485352075654
376493.58067924634,16.716181911843186,-14.921492566929915
443062.14575838775,15.907870009477401,-13.24705051295359
521400.82879996847,15.200048460959156,-11.756160656918867
613590.7273413163,14.57961310825757,-10.42968354463766
722080.9018385457,14.035275452747397,-9.25024783127979
849753.4359086438,13.557295202348467,-8.20214258407689
1000000.0,13.137253768044099,-7.271200780390755
